"Members – Detailed Hospitality Expenditures Report – Trudel, Denis – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Longueuil,0,To meet visitors of Member’s office,Hosting a meeting,M0240362,Nespresso,224.00
2020/04/01,Longueuil,0,To meet visitors of Member’s office,Hosting a meeting,M0240362,IGA Longueuil,9.68
2020/04/01,Longueuil,0,To meet visitors of Member’s office,Hosting a meeting,M0240362,Métro Plus,7.98
2020/04/01,Longueuil,0,To meet visitors of Member’s office,Hosting a meeting,M0240362,Charcuterie du Vieux Longueuil,4.00
2020/05/08,Longueuil,120,To meet constituents,Hosting a town hall or community event,M0240362,Tim Hortons,28.28
2020/05/08,Longueuil,120,To meet constituents,Hosting a town hall or community event,M0240362,Les Cuisiniers Différents,190.75
2020/05/22,Longueuil,10,To meet constituents,Hosting a town hall or community event,M0240418,QQPCS Productions S.E.N.C.,375.00
2020/05/22,Longueuil,10,To meet constituents,Hosting a town hall or community event,M0240424,Tim Hortons,32.98
2020/05/22,Longueuil,10,To meet constituents,Hosting a town hall or community event,M0240424,Métro Plus,9.29
2020/05/22,Longueuil,10,To meet constituents,Hosting a town hall or community event,M0240424,Les Cuisiniers Différents,172.55
