"Members – Detailed Travel Expenditures Report – Gaudreau, Marie-Hélène – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203190,2020/06/01,2020/07/06,,,,,,,447.0000,0.0000,0.0000,0,0,0,447.00
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend a conference,2020/06/22,Chambly,Beaux-Rivages,,,,,,,
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/07/06,Beaux-Rivages,Sainte-Agathe-des-Monts,,,,,,,
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/07/06,Sainte-Agathe-des-Monts,Beaux-Rivages,,,,,,,
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/06/01,Beaux-Rivages,Sainte-Agathe-des-Monts,,,,,,,
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/06/01,Sainte-Agathe-des-Monts,Beaux-Rivages,,,,,,,
T0203190,2020/06/01,2020/07/06,"Gaudreau, Marie-Hélène",Member,To attend a conference,2020/06/22,Beaux-Rivages,Chambly,,,,,,,
T0204468,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204468,2020/07/01,2020/07/31,"Gaudreau, Marie-Hélène",Member,Secondary Residence,2020/07/01,Gatineau,Gatineau,,,,,,,
T0203184,2020/07/07,2020/07/10,,,,,,,176.4400,0.0000,242.4500,1.0000,0,0,418.89
T0203184,2020/07/07,2020/07/10,"Gaudreau, Marie-Hélène",Member,To travel to/from constituency and Ottawa,2020/07/07,Beaux-Rivages,Ottawa,,,,,,,
T0203186,2020/07/07,2020/07/10,,,,,,,176.4400,0.0000,0.0000,1.0000,0,0,176.44
T0203186,2020/07/07,2020/07/10,,Designated Traveller,To unite the family with the Member,2020/07/07,Beaux-Rivages,Ottawa,,,,,,,
T0203184,2020/07/07,2020/07/10,"Gaudreau, Marie-Hélène",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Beaux-Rivages,,,,,,,
T0203186,2020/07/07,2020/07/10,,Designated Traveller,To unite the family with the Member,2020/07/10,Ottawa,Beaux-Rivages,,,,,,,
T0204014,2020/07/15,2020/07/15,,,,,,,15.1800,0.0000,0.0000,0.0000,0,0,15.18
T0204014,2020/07/15,2020/07/15,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/07/15,Beaux-Rivages,Lac-Saguay,,,,,,,
T0204014,2020/07/15,2020/07/15,"Gaudreau, Marie-Hélène",Member,To attend meetings about constituency issues,2020/07/15,Lac-Saguay,Beaux-Rivages,,,,,,,
T0203179,2020/07/15,2020/07/15,,,,,,,28.6000,0.0000,0.0000,0.0000,0,0,28.60
T0203179,2020/07/15,2020/07/15,"Larente, Maryse",Employee,To attend meetings about constituency issues,2020/07/15,Mont-Laurier,Lac-Saguay,,,,,,,
T0203179,2020/07/15,2020/07/15,"Larente, Maryse",Employee,To attend meetings about constituency issues,2020/07/15,Lac-Saguay,Mont-Laurier,,,,,,,
T0203223,2020/07/16,2020/07/16,,,,,,,121.5200,0.0000,0.0000,0.0000,0,0,121.52
T0203223,2020/07/16,2020/07/16,"Paré, Isabelle",Employee,Attending event with Member,2020/07/16,Sainte-Agathe-des-Monts,Mont-Laurier,,,,,,,
T0203225,2020/07/16,2020/07/16,,,,,,,144.7600,0.0000,15.0600,0,0,0,159.82
T0203225,2020/07/16,2020/07/16,"Kieffer, Michel",Employee,Attending event with Member,2020/07/16,Saint-Sauveur,Mont-Laurier,,,,,,,
