"Members – Detailed Hospitality Expenditures Report – Gourde, Jacques – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/06/08,Saint-Nicolas,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0240602,SAINT-HUBERT ST-NICOLAS,73.0000
2020/06/09,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0240602,RESTO PUB LE 2000,47.5000
2020/06/11,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0240602,RESTO PUB LE 2000,47.0000
2020/06/22,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0240602,RESTO PUB LE 2000,47.2400
2020/06/25,Saint-Nicolas,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0240608,SAINT-HUBERT ST-NICOLAS,102.3000
2020/06/29,Lévis (Lévis),5,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,87.3400
2020/06/30,Saint-Nicolas,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,ST-HUBERT ST-NICOLAS,121.6400
2020/07/02,Lévis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,66.8300
2020/07/04,Sainte-Marie,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,SAINT-HUBERT STE-MARIE DE BEAUCE,60.0300
2020/07/06,Lévis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,84.1200
2020/07/07,Lévis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,69.1700
2020/07/08,Saint-Nicolas,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0242706,ST-HUBERT SAINT-NICOLAS,61.8500
2020/07/10,Saint-Agapit,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,ANGUS ZONE,36.3500
2020/07/13,Lévis,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,83.8300
2020/07/14,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0242413,RESTO PUB LE 2000,59.2100
2020/07/15,Lévis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0242706,RESTO PUB LE 2000,34.0000
2020/07/16,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0242706,LE SAINT-ÉLOI,111.3200
2020/07/18,Saint-Nicolas,5,To celebrate a significant event,Hosting a meeting,M0243045,ST-HUBERT ST-NICOLAS,130.4400
2020/07/20,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0243045,IGA EXTRA FAMILLE PLANTE,27.9400
2020/07/20,Hull,2,To exchange with dignitaries,Meal at a community activity or event,M0243045,ST-HUBERT HULL,109.9200
2020/07/31,Saint-Sylvestre,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0244036,LA BOUCHE BÉE,201.5900
2020/08/03,St-Nicolas,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0244036,ST-HUBERT ST-NICOLAS,83.5400
2020/08/04,Lévis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0244036,RESTAURANT NORMANDIN,51.6500
2020/08/05,Lévis (Lévis),2,To discuss constituency issues with stakeholders,Hosting a meeting,M0244036,RESTAURANT NORMANDIN,37.9900
2020/08/10,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0244823,RESTO-O-BORD LE PIRATE,97.2000
2020/08/13,Saint-Nicolas,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0244823,ST-HUBERT ST-NICOLAS,80.9000
2020/08/17,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0245368,RESTAURANT NORMANDIN LEVIS,65.6000
2020/08/23,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0245368,PACINI HULL,89.3400
2020/08/25,Lévis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,RESTO PUB LE 2000,30.4800
2020/08/26,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,RESTO PUB LE 2000,53.9300
2020/08/27,Saint-Nicolas,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,ST-HUBERT ST-NICOLAS,66.5400
2020/08/31,Lévis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,RESTO PUB LE 2000,70.3400
2020/09/01,Lévis,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,RESTAURANT NORMANDIN,84.1800
2020/09/02,Lévis,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,RESTO PUB LE 2000,56.2700
2020/09/03,Saint-Sylvestre,14,To discuss constituency issues with stakeholders,Hosting a meeting,M0246657,LA BOUCHE BEE,400.0000
2020/09/08,Hull,2,To exchange with dignitaries,Hosting a meeting,M0246765,ST-HUBERT HULL,87.0600
